No,지역,지역,지역,지역,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월
No,지역,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,지역,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원
31,서울,강남지역,서남권,구로구,"""625,685""","""625,496""","""624,890""","""624,939""","""625,150""","""629,429""","""631,291""","""633,968""","""638,876""","""641,911"""
32,서울,강남지역,서남권,금천구,"""581,965""","""582,234""","""581,569""","""581,346""","""581,712""","""584,780""","""585,151""","""586,226""","""589,037""","""591,038"""
33,서울,강남지역,서남권,영등포구,"""1,143,900""","""1,145,848""","""1,147,028""","""1,148,740""","""1,159,208""","""1,160,286""","""1,167,988""","""1,188,933""","""1,215,976""","""1,224,139"""
34,서울,강남지역,서남권,동작구,"""1,072,113""","""1,071,878""","""1,071,009""","""1,073,164""","""1,082,700""","""1,103,676""","""1,111,731""","""1,135,699""","""1,151,338""","""1,156,375"""
35,서울,강남지역,서남권,관악구,"""678,743""","""678,863""","""678,443""","""678,508""","""679,393""","""694,243""","""695,316""","""697,982""","""702,661""","""705,543"""
36,서울,강남지역,동남권,동남권,"""1,899,959""","""1,905,080""","""1,908,754""","""1,932,949""","""1,994,695""","""2,027,681""","""2,060,064""","""2,143,627""","""2,184,836""","""2,204,256"""
37,서울,강남지역,동남권,서초구,"""2,259,568""","""2,267,809""","""2,273,475""","""2,302,917""","""2,374,406""","""2,463,371""","""2,504,933""","""2,600,060""","""2,648,254""","""2,670,095"""
38,서울,강남지역,동남권,강남구,"""2,404,982""","""2,413,318""","""2,415,000""","""2,442,238""","""2,527,804""","""2,526,982""","""2,565,599""","""2,668,202""","""2,721,234""","""2,735,839"""
39,서울,강남지역,동남권,송파구,"""1,788,562""","""1,792,574""","""1,799,474""","""1,832,259""","""1,899,726""","""1,948,000""","""1,982,579""","""2,074,146""","""2,116,164""","""2,148,617"""
40,서울,강남지역,동남권,강동구,"""983,814""","""982,731""","""982,526""","""985,372""","""997,087""","""1,001,485""","""1,012,792""","""1,048,192""","""1,065,185""","""1,071,160"""
41,경기,경기,경기,경기,"""528,455""","""528,809""","""528,410""","""527,933""","""528,439""","""532,567""","""533,236""","""535,141""","""537,926""","""539,080"""
42,경기,경부1권,경부1권,경부1권,"""834,290""","""836,360""","""836,627""","""836,611""","""840,876""","""851,003""","""856,492""","""866,219""","""879,833""","""885,993"""
43,경기,경부1권,과천시,과천시,"""1,696,313""","""1,702,277""","""1,706,422""","""1,713,566""","""1,759,916""","""1,842,978""","""1,896,652""","""1,928,539""","""1,975,933""","""1,992,640"""
44,경기,경부1권,안양시,안양시,"""622,840""","""625,916""","""628,340""","""628,778""","""629,772""","""630,996""","""631,730""","""635,375""","""641,256""","""645,882"""
45,경기,경부1권,안양시,만안구,"""492,834""","""496,061""","""497,696""","""497,545""","""495,264""","""496,474""","""495,223""","""495,424""","""496,303""","""496,059"""
46,경기,경부1권,안양시,동안구,"""703,010""","""705,993""","""708,903""","""709,705""","""712,718""","""715,184""","""717,160""","""722,961""","""731,971""","""739,646"""
47,경기,경부1권,성남시,성남시,"""1,093,680""","""1,095,513""","""1,093,880""","""1,092,847""","""1,096,658""","""1,097,847""","""1,104,269""","""1,122,105""","""1,145,739""","""1,155,335"""
48,경기,경부1권,성남시,수정구,"""877,366""","""875,435""","""875,557""","""873,847""","""876,374""","""898,000""","""900,289""","""905,948""","""915,378""","""917,630"""
49,경기,경부1권,성남시,중원구,"""655,248""","""657,336""","""651,120""","""648,224""","""648,032""","""669,338""","""669,103""","""671,228""","""673,551""","""675,368"""
50,경기,경부1권,성남시,분당구,"""1,339,660""","""1,342,858""","""1,342,240""","""1,342,157""","""1,347,947""","""1,350,086""","""1,360,837""","""1,389,858""","""1,427,740""","""1,443,399"""
51,경기,경부1권,군포시,군포시,"""477,706""","""477,444""","""477,119""","""476,516""","""475,825""","""479,126""","""478,549""","""478,111""","""478,814""","""478,905"""
52,경기,경부1권,의왕시,의왕시,"""636,595""","""638,167""","""637,899""","""637,518""","""639,464""","""641,201""","""641,017""","""642,966""","""644,828""","""646,724"""
53,경기,경부2권,경부2권,경부2권,"""547,073""","""547,917""","""548,116""","""548,144""","""549,363""","""552,086""","""552,797""","""554,835""","""557,046""","""558,002"""
54,경기,경부2권,안성시,안성시,"""178,022""","""177,630""","""177,234""","""176,662""","""175,667""","""181,947""","""181,059""","""180,718""","""180,293""","""180,066"""
55,경기,경부2권,용인시,용인시,"""619,225""","""619,864""","""619,735""","""619,887""","""622,134""","""621,949""","""623,235""","""626,450""","""629,240""","""630,071"""
56,경기,경부2권,용인시,처인구,"""325,970""","""325,595""","""325,197""","""324,820""","""324,165""","""331,552""","""330,792""","""330,636""","""331,175""","""331,090"""
57,경기,경부2권,용인시,기흥구,"""576,694""","""577,374""","""576,570""","""576,036""","""576,510""","""576,374""","""575,362""","""576,328""","""577,299""","""577,116"""
58,경기,경부2권,용인시,수지구,"""805,046""","""806,144""","""806,804""","""807,882""","""813,280""","""819,573""","""824,216""","""831,438""","""837,216""","""839,536"""
59,경기,경부2권,수원시,수원시,"""551,325""","""552,589""","""553,198""","""553,228""","""553,932""","""560,902""","""561,404""","""562,841""","""565,043""","""566,340"""
